algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.026637151805339,5.955580711364746,0.03400301933288574,5.92157769203186,,,,,,central,,0.7014083333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.054765079881172,6.372244119644165,0.03147602081298828,6.340768098831177,,,,,,central,,0.7307666666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.1317449227580205,6.008859872817993,0.03619194030761719,5.972667932510376,,,,,,central,,0.7313416666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.948752668631389,6.306926727294922,0.036997079849243164,6.269929647445679,,,,,,central,,0.691925

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.165623538710283,6.371535062789917,0.03726649284362793,6.334268569946289,,,,,,central,,0.7240583333333332

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.124009541753609,6.219634771347046,0.03822636604309082,6.181408405303955,,,,,,central,,0.7325083333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.123262418023379,6.248086214065552,0.04993414878845215,6.1981520652771,,,,,,central,,0.7337583333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.134051600433816,6.390554428100586,0.0475766658782959,6.34297776222229,,,,,,central,,0.7092416666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.012307906542955,6.113811016082764,0.04662966728210449,6.067181348800659,,,,,,central,,0.7191333333333334

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.039701563712652,6.130962133407593,0.033623456954956055,6.097338676452637,,,,,,central,,0.7005916666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.922868399396035,6.215853691101074,0.04382491111755371,6.1720287799835205,,,,,,central,,0.7253583333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.075247936352781,6.046835422515869,0.037117719650268555,6.009717702865601,,,,,,central,,0.7285333333333334

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,2.028929508675532,6.3462512493133545,0.03838324546813965,6.307868003845215,,,,,,central,,1.0

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.079908981299843,6.330279588699341,0.035095930099487305,6.2951836585998535,,,,,,central,,0.7324166666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,120,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.1075498647567334,6.201235055923462,0.03333449363708496,6.167900562286377,,,,,,central,,0.705075

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.092626662596786,6.238997220993042,0.03112626075744629,6.207870960235596,,,,,,central,,0.7616333333333333

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.077337829747582,6.136164903640747,0.03188467025756836,6.104280233383179,,,,,,central,,0.74755

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.085391016802215,6.226553201675415,0.056558847427368164,6.169994354248047,,,,,,central,,0.770625

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.096212812086749,6.108242034912109,0.03823232650756836,6.070009708404541,,,,,,central,,0.7575333333333334

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.147863931666079,6.181199550628662,0.04629182815551758,6.1349077224731445,,,,,,central,,0.76935

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.97086116418859,6.239742279052734,0.035700082778930664,6.204042196273804,,,,,,central,,0.77995

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.04781620153501,6.190799236297607,0.03637528419494629,6.154423952102661,,,,,,central,,0.7583416666666666

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.106981797688605,6.374252557754517,0.03707003593444824,6.337182521820068,,,,,,central,,0.7603916666666666

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.063531106236922,6.141158103942871,0.033396244049072266,6.107761859893799,,,,,,central,,0.7598583333333333

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.08069208747849,6.257580041885376,0.03396415710449219,6.223615884780884,,,,,,central,,0.77265

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,90,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.13854012646172,6.242550611495972,0.03644061088562012,6.206110000610352,,,,,,central,,0.7610416666666667

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,90,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.068142243991597,6.356091499328613,0.03864002227783203,6.317451477050781,,,,,,central,,0.754225

SRFQI,BlackScholes,DoubleKnockOutPut,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,90,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.0588862961378,6.330652475357056,0.036600351333618164,6.2940521240234375,,,,,,central,,0.7712333333333333

