algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.4410481267263042,0.4483492374420166,0.2255387306213379,0.2228105068206787,,,,,,central,,0.1827666666666667

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.3642881363162631,0.4786055088043213,0.24731922149658203,0.23128628730773926,,,,,,central,,0.1674888888888889

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.422967635073242,0.4354543685913086,0.20923829078674316,0.22621607780456543,,,,,,central,,0.18722222222222223

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.5695426395301375,0.39728474617004395,0.15452361106872559,0.24276113510131836,,,,,,central,,0.21801111111111113

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.4408892505172166,0.42676711082458496,0.2090315818786621,0.21773552894592285,,,,,,central,,0.17263333333333336

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.3556288689265932,0.47683072090148926,0.2399616241455078,0.23686909675598145,,,,,,central,,0.15928888888888892

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.8088597379515021,0.40409255027770996,0.16911840438842773,0.23497414588928223,,,,,,central,,0.3160555555555556

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.3862854582445268,0.3638186454772949,0.14916682243347168,0.21465182304382324,,,,,,central,,0.16602222222222224

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.6347149384121689,0.4240238666534424,0.16834187507629395,0.25568199157714844,,,,,,central,,0.23482222222222227

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.10397162422695812,4.352848291397095,0.18770456314086914,4.165143728256226,,,,,,central,,0.9057888888888891

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0641876408900249,5.328306436538696,0.1816112995147705,5.146695137023926,,,,,,central,,0.6356333333333334

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.1070433797841235,5.13831090927124,0.16782808303833008,4.97048282623291,,,,,,central,,0.9996111111111111

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.07723371309673287,3.4865269660949707,0.19939565658569336,3.2871313095092773,,,,,,central,,0.7184777777777778

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.11136375646817881,0.6074998378753662,0.041179656982421875,0.5663201808929443,,,,,,central,,0.9999777777777777

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.10524208231856359,4.89023494720459,0.21019625663757324,4.680038690567017,,,,,,central,,0.9983444444444445

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.10674370939104935,4.836763858795166,0.18671035766601562,4.65005350112915,,,,,,central,,0.9998777777777778

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,5.1471006870269775,0.17467021942138672,4.972430467605591,,,,,,central,,0.5371555555555556

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,4.43769907951355,0.16928648948669434,4.2684125900268555,,,,,,central,,0.11111111111111113

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,4.816147565841675,0.15719056129455566,4.658957004547119,,,,,,central,,0.7233

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,5.200974464416504,0.166609525680542,5.034364938735962,,,,,,central,,0.11111111111111113

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,4.8609843254089355,0.21604204177856445,4.644942283630371,,,,,,central,,0.9811

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,4.472166299819946,0.22681546211242676,4.2453508377075195,,,,,,central,,0.11111111111111113

SRFQI,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,4.726534366607666,0.23205971717834473,4.494474649429321,,,,,,central,,0.38687777777777776

SRFQI,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,4.7867960929870605,0.26321983337402344,4.523576259613037,,,,,,central,,0.11111111111111113

SRFQI,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,4.728756904602051,0.2077491283416748,4.521007776260376,,,,,,central,,0.11111111111111113

SRFQI,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,5.418102264404297,0.22264766693115234,5.1954545974731445,,,,,,central,,0.11111111111111113

SRFQI,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,4.917651891708374,0.2426607608795166,4.674991130828857,,,,,,central,,0.15632222222222225

